qqr_latin	qqr_kirill	ruscha
aqlawshı	ақлаўшы	1) маляр; жай ақ
lawshı	лаўшы	мал!1 р; 2) перен. защйтник
aqlıq	ақлық	I 1) белизна; 2) перен
aqmaq	ақмақ	дурак; / глупый; ақ
maqtıc	мақтыц	ақылы түстен кейин
aqmaqlan-	ақмақлан-	1) дурачиться, де
aqmaqshılıq	ақмақшылық	см. ақмақлық
aqpa	ақпа	текучий; <> ақпа қулақ
aqpalıq	ақпалық	текучесть
aqpashılıq	ақпашылық	см. ақпалық
aqrap	ақрап	1) астр. Скорпион; 2)
aqsa-	ақса-	хромать
aqsaq	ақсақ	хромой
aqsaqal	ақсақал	1) старейший уважае
aqsaqlıq	ақсақлық	хромота
aqsacla-	ақсацла-	прихрамывать
aqsaqlat-	ақсақлат-	понуд. от ақсақласдёлать - хромым
aqsaclaw	ақсацлаў	и. й, от ақсацла
aqsar	ақсар	эоол. мохноногий - канюк
aq-sarǵılt	ақ-сарғылт	светло-жёлтый; бе
aqsat-	ақсат-	понуд. от ақса- дёлать - хромым, доводить до хромоты;
aqsatıw	ақсатыў	и. д. от ақсат
aqsaw	ақсаў	и. д. от ақса
aqta	ақта	мёрин
aqtar-	ақтар-	1) переворачивать, пе
aqtarıl-	ақтарыл-	страд, от ақтар
iqun	иқун	ахўн {духовный сан)
aqshalata	ақшалата	см. ақшалай. - ак.1палы имеющий деньги; де
aqsham	ақшам	1) вечер; 2) ночь; ярым
aqshamlıqta	ақшамлықта	1) вечером; 2)
aqshasız	ақшасыз	не имеющий - денег
aqshasızlıq	ақшасызлық	безденежье
aqshıy-	ақшый-	1) закатываться (о
aqshıyt-	ақшыйт-	понуд. - от ақшый- - 1)
aqshıyıw	ақшыйыў	и. д. - от ақшый- - 1)
aqshıl	ақшыл	беловатый, белёсый
aqshıllaw	ақшыллаў	см. ақшыл
aqıbet	ақыбет	1) последствие, резуль
aqıy-	ақый-	вперйть - взор, смотреть
aqıyt-	ақыйт-	понуд. от ақый- за
aqıytıw	ақыйтыў	и. д. - от ақыйт
aqıyıw	ақыйыў	и. д. от ақый- смот
aqıq	ақық	перламутр; / перламут
aqıl	ақыл	ум, разум, рассудок; / ум
uaqılǵa	уақылға	кел- - одўматься; ақылым
aqılgóy	ақылгөй	ўмный; мўдрый; рас
aqılgóyli	ақылгөйли	ўмный; мўдрый;
aqıllas	ақыллас	единомышленник
aqıllas-	ақыллас-	советоваться между - собой; совещаться между собой
aqıllasıw	ақылласыў	и. д. - от ақыллас
aqıllı	ақыллы	ўмный, разўмный;
wmnıy	ўмный	человек; ақыллы отқа
aqıllılıq	ақыллылық	ўмное, разўмное
aqılsız	ақылсыз	глўпый, бестолковый;
aqılsızlıq	ақылсызлық	отсўтствие - ума;
aqılsın-	ақылсын-	ўмничать, изобра
aqılshı	ақылшы	советчик
aqır	ақыр	I кормўшка для скота
aqır-	ақыр-	1) реветь, рычать (о
aqıra	ақыра	край - арыка
aqıray-	ақырай-	1) оглядываться по
aqırayt-	ақырайт-	понуд. - от ақырай- - 1) заставить оглядываться по
aqırayıw	ақырайыў	и. д. от ақырай
aqıraqla-	ақырақла-	сердито, с бранью
aqıraclat-	ақырацлат-	понуд. от акырақла- вызвать сердитую брань
aqıraclaw	ақырацлаў	и. д. от ақыранла- набрасывание с бранью на - кого-л
aqırǵı	ақырғы	1) окончательный;
shaǵım	шағым	бериўғе жатпайды приго
aqıret	ақырет	1) рел. конец света
kórdim	көрдим	я пережил большие му
aqırı	ақыры	в - конце
aqırı-ayaǵı	ақыры-аяғы	в конце кон
aqırı-ayaǵında	ақыры-аяғында	см. ақыры
aqırın	ақырын	1) тихий; / тихо; ақы
riw	риў	тихий - ход, медленный код;
aqırınla-	ақырынла-	медлить; делать
aqırınlap	ақырынлап	тихо, постепенно
aqırıilat-	ақырыилат-	понуд. от ақы
aqırınlatıw	ақырынлатыў	и. д. от ақы
aqırınlaw	ақырынлаў	и. д. от ақырынла- - замедление
aqırınlıq	ақырынлық	медлительность
aqırıw	ақырыў	и. д. - от ақыр- - 1) рёв
qatın	қатын	ал- - жениться {букв, взять
ÓZ	ӨЗ	жуўапкершилигице ал- взять
alagadalaw	алагадалаў	и. д. от алагада
alaǵadalıq	алағадалық	рассёянность, не
alaǵatlıq	алағатлық	пестрота, разно
ala-ǵulalıq	ала-ғулалық	пестрота; бояў
alajawlı	алажаўлы	1) неодинаковый; 2)
alaq	алақ	выпуклый (о глазах);
alaqay	алақай	возглас, выраж аюсций
alaqayla-	алақайла-	громко кричать от - восторга, от радости
alaqaylaw	алақайлаў	и. д. от алақайлагрбмкий - восторженный, радост
alaqan	алақан	ладонь; қуры алақан
alaqanǵa	алақанға	сал- а) класть на ла
alaqanday	алақандай	незначительный, не
alaqanla-	алақанла-	1) брать на ладонь;
alaqanlas-	алақанлас-	взаимн. от ала
alaqanlat-	алақанлат-	понуд. от - алақанла- - 1) заставить брать на ладонь; 2)
alaqanlaw	алақанлаў	и. д. от алақанла-. - алақ-жулақ: алақ-жулақ қарапуглйво озираться
alaqla-	алақла-	1) оглядываться, пу
alaqlaw	алақлаў	и. д. от алақла
alaqshın	алақшын	доски, окружающие
alalaw	алалаў	и. д. от алала- пред
alalıq	алалық	1) пестрота; неодно
alamanlatıw	аламанлатыў	и. д. от аламан
alamanlaw	аламанлаў	и. д. о т аламанла
alamaishılıq	аламаишылық	неразберйха. - аламат - 1) прйзнак, примета;
alanǵasar	аланғасар	1) недогадливый;
alanǵasarlıq	аланғасарлық	1) недогадли
alanlatıw	аланлатыў	и. д. от аланлат
alanlaw	аланлаў	и. д. от аланла
KÓP	КӨП	погов. - берущему— и шестй
alartıw	алартыў	и. д. от аларт
alarıw	аларыў	и. д. от алар
alas-qapas	алас-қапас	суета, суматоха;
alas-qapasta	алас-қапаста	шығып кетти во
albıratıw	албыратыў	и. д. от - албырат
albıraw	албыраў	и. д. от албыра
algebralıq	алгебралық	алгебраический;
aldasıw	алдасыў	и. д. от алдас- обманывание друг - друга; совмест
aldawshılıq	алдаўшылық	обман, надува
SÓZ	СӨЗ	алды - предисловие; 2) пере
qara-	қара-	внимательно обдумать - чт о-я.; 03 алдына самостоятель
aljasıq	алжасық	ошибка; недоразуме
aljıtıw	алжытыў	и. д. от алжыт
aljıw	алжыў	и. д. от - алжы- 1 ) запу
alqımı	алқымы	қысады сапоги жмут
alqındı	алқынды	обмылок
nlqıssa	нлқысса	фольк. - начало, зачйн;
almastırıw	алмастырыў	и. д. о т алмас - тыр- - 1) обмен, замена, переме
almasıq	алмасық	гри м , местоимение;
almasıǵı	алмасығы	вопроейгельное место - имение; тартым алмасығы при
almasılıw	алмасылыў	и. д. от - алмасыл- - 1) смена, замена, обмен; 2) из
almasıw	алмасыў	и. д. от - алмас- - 1)
altaqta	алтақта	облучок
altılıq	алтылық	шестёрка (в кар т а х )
altınlaw	алтынлаў	и. д. от - алтынлазолочёнио, отделка или украшёние золотом
alshaq	алшақ	1) широко раздвйнутый
alshaqla-	алшақла-	1) отодвигать; раз
alshaqlat-	алшақлат-	понуд. от - алшақла- - 1) заставить отодвйнуть; заста
alshaqlıq	алшақлық	отдалённость, даль
alshaclaw	алшацлаў	и. д. от алшацла
alımlıq	алымлық	учёность; алымлық
ilımsaq	илымсақ	покупатель, потребй
plım-salıq	плым-салық	ист. - дань, налог;
alınıw	алыныў	и. д. от - алын- - 1) в
llıcqıra-	ллыцқыра-	брать, набирать
alıelıq	алыелық	удалённость; отда
alıstaǵı	алыстағы	в разн. знач. удалён - ный; отдалённый; находящийся
alısıw	алысыў	I и. д. от алые- I;
QIZ	ҚЫЗ	алысыў уст. родственные от - ношения, при которых допус
alıw	алыў	и. д. от - ал- - 1) взятие;
alıwshı	алыўшы	1) получатель; / по
qal-	қал-	спастй - кого-л.\ аман бол!
amanlastırıw	аманластырыў	и. д. от аман
amanlıq	аманлық	благополучие
amanshılıq	аманшылық	см. аманлық
amnistiyalaw	амнистиялаў	и. д. от амни
awıl	аўыл	хожалық әсбапларынын
anaǵurlım	анағурлым	гораздо, значйтельно; бул анағурлым жақсы это
matematikalıq	математикалық	анализ математйческий анализ
analizlew	анализлеў	и. д. от - анализлеанализйрование, анализ; қанды
analitikalıq	аналитикалық	аналитйческий;
analıq	аналық	матерйнство;/ матерйнский; аналық ақыл матерйнский
anarxiyalıq	анархиялық	анархистский;
anaw	анаў	см. - ана II
apdaǵı	апдағы	находящийся там
anketalıq	анкеталық	анкетный; анкета
arxitekturalıq	архитектуралық	ансамбль - архи
aypgawǵa	айпгаўға	ант берди он - поклялся
antalaw	анталаў	и. д. от - антала- - 1)
antlasıw	антласыў	и. д. от антлас- дача
anshalıq	аншалық	столько, настолько;
anıq	анық	хабар достоверное изве - стие; анық болды стало досто
anıqla-	анықла-	выяснять, определять;
anıqlap	анықлап	айт- говорить точно и - определённо; баратуғыныцды
anıqlama	анықлама	формулировка, опре
anıqlan-	анықлан-	ст - рад, от анықластановйться достоверно извест
anıqlanbaǵan	анықланбаған	хабар неточные
anıqlas-	анықлас-	взаим н. от анықлапомогать - выяснять, определять
anıqlastır-	анықластыр-	понуд. от анық
anıqlat-	анықлат-	п онуд. от анықлазаставить - выяснять, определять
anıqlatıw	анықлатыў	и. д. от - анықлатвыяснёние, определение чего-л
anıqlaw	анықлаў	и. д. от - анықлавыяснёние, уточнение, опреде
anıqlawısh	анықлаўыш	гр а м . определение
anıqlıq	анықлық	ясность, определён
awla-	аўла-	охотиться; ол ан аўлаўға
anǵar	анғар	русло; жаптын ацғары
acǵar-	ацғар-	1) понимать; оныц не
aytajaǵın	айтажағын	сен - ацғардын, ба?
aqǵarıw	ақғарыў	и. д. от ангар- пони
anqayt-	анқайт-	понуд. от - ацқай- - 1)
anqawlan-	анқаўлан-	1) становиться ра
aqqawsı-	аққаўсы-	прикидываться про
anqawsıra-	анқаўсыра-	быть недогадли - вым, наивным, простаком
ankawsıraw	анкаўсыраў	и. д. от анкаў- - сыра-недогадливость, найвность
anqawsıw	анқаўсыў	и. д. от ацқаўсы
acqawshılık	ацқаўшылык	см. анқаўлык
acqı-	ацқы-	доносйться, исходйть
acqırt-	ацқырт-	понуд. .от анкыр
acqırıw	ацқырыў	и. д. от ацқыр- - крик
aclamawshılıq	ацламаўшылық	1) непонима
ailawsızdan	аилаўсыздан	вдруг, неожй
ailıw	аилыў	и. д. от аилы- - выслёжнпание, слежка
ailıwshı	аилыўшы	выслеживающий, вы
airaytıw	аирайтыў	и. д. от аирайт
airayıw	аирайыў	и. д. от аирай-. - аирап: аирап жатқан дала
aisatlatıw	аисатлатыў	и. д. от аисатлат
aisatlaw	аисатлаў	и. д. от аисатлаоблегчёние
aisatlıq	аисатлық	лёгкость, простота;
aisaw	аисаў	и. д. от аиса-. - ансыз - 1) несознательный; 2)
ǵa	ға	кас погов. - неосторожность
ac-taq	ац-тақ	удивление; / удивлён
aptapqa	аптапқа	жат- лежать на солн
apuw	апуў	1 ) извинение, прощение:
apuwayı	апуўайы	простой, безыскус
júredi	жүреди	мальчик начал поне
araǵa	араға	туе- - вступаться, засту
úshew	үшеў	ара топлан- собираться
arazlıq	аразлық	1) ссора; размолвка;
araqxor	арақхор	пьяница, алкоголик
araqxorlıq	арақхорлық	пьянство, алкоюл йзм
aralasqab	араласқаб	смешанный, переме
aralıq	аралық	1) промежуток, рас
Tórtkul	Төрткул	менен Нөкистиц ара
arashalaw	арашалаў	и. д. от арашаларазни - мание {дерущ ихся или спо
tayaq	таяқ	погов. разнимающему два - удара {букв, две палки)
arbaytıw	арбайтыў	и. д. от - арбайт- - 1)
argımaq	аргымақ	аргамак (породист ая
ardaq	ардақ	1) неженка, баловень;
ardaqla-	ардақла-	1) оказывать почести;
jawǵa	жаўға	бермес тар жерде фольк
ardaqlan-	ардақлан-	ст - рад, от ардақла
ardaqlaw	ардақлаў	и. д. от - ардақла- - 1)
aryaaqlı	аряақлы	I) уважаемый; почи
arjaq	аржақ	та, другая сторона
arjaqlı	аржақлы	находящийся на - той
aristokratlıq	аристократлық	аристократйческий; аристократлық жэмийет
arifmetikalıq	арифметикалық	арифметйческий; арифметикалық мэселелер
jıynaǵı	жыйнағы	сборник арифметиче
arqa	арқа	1) спина; задняя часть
arqam	арқам	аўырады у меня болйт - спина; 2) в з н а ч е н и и послелога
arqasında	арқасында	из-за - этого, благодаря
arkanlatıw	арканлатыў	и. д. от арканлатпривязывание кого-чего-л. арка - ном, верёвкой
arkanlaw	арканлаў	и. д. от арканлапривязывание кого-чего-л. арка - ном, верёвкой
arqar	арқар	эоол. - архар, дикий гор
arqaw	арқаў	текст, утбк ткйни
arqawlıq	арқаўлық	текст, нитка, упот
arqash	арқаш	поверхность - дамбы
arqa-shıǵıs	арқа-шығыс	северо-восток
arqılı	арқылы	разе. см. арқалы
arqıra-	арқыра-	бурлить, бурно и бы
arqırat-	арқырат-	понуд. от арқыравызвать бурное и быстрое тече
arqıraw	арқыраў	и. д. от арқыра- бур - ное, быстрое течение (потока)
arlanıw	арланыў	и. д. от - арлан- - 1)
armaǵan-bermaǵan	армаған-бермаған	см. - арман
barlıq	барлық	саналы емирин халык
arnatıw	арнатыў	и. д. от - арнат- - 1)
arnaw	арнаў	и. д. от - арна- - 1) предна
arpalıq	арпалық	ячменное - поле
nreınıwshılıq	нреыныўшылық	стыдливость
qaramay	қарамай	не оглядываясь - назад;
qap	қап	жур - смотри, как бы не было
artqa	артқа	назад; артқа тартыўшы
artqı	артқы	задний; последний; алдынғыныц адасқанын артқы киси
artpaq	артпақ	поклажа, вьюк
arttırılıw	арттырылыў	и. д. от артты - рыл- I) увелйчивание; умноже
arttırıw	арттырыў	и. д. от - арттыр- - 1)
artıq	артық	1) излйшек; / лйшний;
artıqlıq	артықлық	см. артықшылық. - артықмаш - 1) лйшний, излйшний, чрезмерный; 2) особый, осо
eqmiyetke	эқмийетке	ийе бол- приобретать
artıqmashlıq	артықмашлық	1) излйшество;
artıqsha	артықша	в - особенности, осо
suluw	сулуў	койлек исключйтельно
artıqshılıq	артықшылық	см. - артықмашлық; меннсн артықшылығын
artılıw	артылыў	и . д. о т артыл
artısıw	артысыў	и. д. от - артыс- {сов
artıw	артыў	и. д. от - арт- - 1) образо
aruw	аруў	красйвая, миловйдная
arwaka	арўака	одногорбый - верблюд
arxeologiyalıq	археологиялық	археологйческий; археологиялық жер қазыў
arshıllıq	аршыллық	см. арлылық
arızlasıw	арызласыў	и. д. от арызлас-. - арық I арык
arıq	арық	II худой, тощий; сухо
arıqla-	арықла-	похудеть, отощать;
qursaǵınan	қурсағынан	арықламайды, қу
arıqlat-	арықлат-	п он уд. от арықладоводйть до истощения
arıqlaw	арықлаў	и. д. от арықла- по - худание, истощение
arıqlıq	арықлық	худоба; сухопарость
arıqsın-	арықсын-	I) казаться худым
arıqsınt-	арықсынт-	п он уд. от арыксын- считать кого-л. - худым
arıqsıntıw	арықсынтыў	и. д. о т арық
arıqsınıw	арықсыныў	и. д. от арықсын-. - арыл- - 1) очищаться; 2) изба
qayǵı	қайғы	арылды сердце успокои - лось (букв, сердце освободйлось
arıltıw	арылтыў	и. д. от - арылт- I)
asqan	асқан	сайын ч.ем - дальше, тем
qeddinen	қэддинен	ас- выйти за рамки
qulaq	қулақ	аспадым а) я не слушался
asatqısh	асатқыш	хорошо - угощающий;
asawlıq	асаўлық	I) дйкость, необъёзженность, неприручённость (ко
asqazan	асқазан	желудок
asqar	асқар	1) высота; высь; / высо
asqatıq	асқатық	молочная - приправа
asqatıqla-	асқатықла-	сдобрить пйщу
asqın-	асқын-	1) становйться высоко
asqındır-	асқындыр-	п он уд. от асқынсдёлать - высокомерным; прояв
asqınla-	асқынла-	см. асқын
askınıw	аскыныў	и. д. от асқын-. - асқыныўшылык, 1) высокомё
aspazlıq	аспазлық	кулинария, кулинар
aspanlatıw	аспанлатыў	и. д. от аспанлат
IQ	ЫҚ	зат небесное тёло; 2]^ перен
iasqasha	иасқаша	аспектте баян ет- изюжйть этот вопрос в ином - асШ'кте
assimilyaciyalaw	ассимиляциялаў	и. д. от ассимиляцияла- ассимилйрование
astaqta	астақта	доска для раскатыва
astaqırın	астақырын	потихоньку, ти
astarlıq	астарлық	подкладочная мате - рия, подкладка
asıǵıs	асығыс	спешка; / спешный
asıǵısla-	асығысла-	торопйться, спешйть
asıǵıslı	асығыслы	спешный, поспеш
asıǵıslıq	асығыслық	спешка, поспеш
asıǵıw	асығыў	и. д. от асық- - спешка
asıq	асық	альчик (кост ь для игры )
asıq-	асық-	торопйться, спешйть;
asıqqan	асыққан	асқа писер - поел, поспешйшь— людей насмешйшь
asıqlı	асықлы	имеющий - альчик, с
asıqpa-	асықпа-	мешкать, неторопйться; кетиуге асықпа- мешкать с
asıqtır-	асықтыр-	п он уд. от асық- - торопйть, заставить спешйть
asıqtırt-	асықтырт-	п онуд. от асық
asıqtırıw	асықтырыў	и. д. о т асықтыр
asıltıw	асылтыў	и. д. от асылт
asılıw	асылыў	и. д. о т - асыл- - 1) ве
óndiris	өндирис	ж. - перепроизводство;
asırǵanlıq	асырғанлық	преувеличение
shapqı	шапқы	ат беговая - лошадь; ска
atqa	атқа	отыр- сидёть на - конё; ат
JOQ	ЖОҚ	безымянный, не имеющий
KÓLDIC	КӨЛДИЦ	атын балық шығарады
MILTIQ	МЫЛТЫҚ	ат- стрелять из вин - товки, из ружья; уйректи ушардан ат- бить утку на лету;
japalaq	жапалақ	кореец атып - ал, жаманнан бойыц сатып ал погов
basqa	басқа	происходящий от другого - отца; ата салты менен по обычаю
ataq	атақ	1) слава, известность;
ataǵı	атағы	шыққан - прославленный;
ataqlı	атақлы	1) известный, просла
ataqsız	атақсыз	1) неизвестный; бес
atalıq	аталық	1) отцовство; / отцов
atarǵa	атарға	гребень (часть ткац
atqar-	атқар-	I) выполнять, испол
atqarıl-	атқарыл-	страд, от атқар
atqarıs-	атқарыс-	взаимн. от - атқар- - 1) помогать выполнять, исполН51ть, приводйть В исполнёние
atqarıw	атқарыў	и. д. от - атқар- - 1)
atqarıwshı	атқарыўшы	исполнйтель; / ис
atqulaq	атқулақ	подорожник
atqıla-	атқыла-	I) подстрёливать ко
atqılat-	атқылат-	понуд. от - атқыла- - 1) заставить подстрёливать ко
atqılatıw	атқылатыў	и. д. от атқылат
atqısh	атқыш	мёткий - стрелок
qonaqtı	қонақты	атландыр посадй гостя
atletikalıq	атлетикалық	атлетический; атлетикалық дене қурылыслы адам
atlıǵıw	атлығыў	и. д. от - атлық- - 1)
atlı-jayawlı	атлы-жаяўлы	пешие и - конные
atlıq	атлық	гр а м . имя существи
atmosferalıq	атмосфералық	атмосферный;
quwatı	қуўаты	атомная - энергия; атом
oqıwshılardı	оқыўшыларды	атпа-ат шақырды
atsızlıq	атсызлық	II безлошадность
